#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
250.0,2715,275.770375
85.0,1659,276.624923
155.0,2117,277.707125
110.0,1421,278.41342
270.0,3497,280.165472
180.0,2015,281.158421
315.0,3521,282.891496
320.0,3215,284.459261
450.0,2637,285.747583
260.0,2339,286.880951
320.0,3836,288.738414
215.0,2009,293.077078
70.0,1167,293.642467
65.0,1081,294.156125
75.0,1067,294.66379
260.0,2709,295.971927
215.0,1999,296.934718
250.0,2407,298.094672
270.0,2321,299.212759
370.0,3261,300.786919
210.0,2403,301.940572
225.0,1991,302.893274
55.0,1151,303.450107
105.0,1883,304.377404
285.0,2091,305.401185
220.0,2407,306.586114
180.0,2079,307.610388
315.0,2651,308.902148
160.0,1889,309.831166
210.0,2209,310.915299
130.0,2003,311.914492
150.0,2441,313.122721
190.0,1991,314.098289
390.0,3505,315.80725
325.0,2541,317.061758
215.0,2273,318.192303
190.0,1959,319.158565
390.0,2961,320.608702
545.0,3085,322.1208
155.0,1851,323.025852
355.0,2673,324.315715
235.0,3427,325.96983
215.0,2043,326.958546
105.0,1541,327.696748
205.0,2489,328.906789
215.0,2499,330.107498
175.0,1575,330.864053
235.0,2413,332.031089
135.0,1949,332.975042
110.0,1847,333.869663
125.0,1507,334.60708
210.0,2521,335.821791
180.0,1969,336.788195
175.0,2821,338.169868
265.0,2345,339.355152
145.0,2063,340.384653
215.0,1727,341.22956
60.0,1333,341.89198
555.0,4133,347.640502
170.0,2279,348.773559
270.0,2217,349.866034
330.0,2727,351.317058
225.0,2605,352.625607
310.0,2849,354.029901
115.0,1553,354.797391
310.0,2762,356.163189
605.0,2846,357.565382
275.0,2419,358.763088
440.0,4017,360.739273
190.0,1991,361.727201
125.0,2767,363.087596
240.0,3057,364.577813
240.0,2283,365.675316
65.0,2209,366.748022
175.0,1957,367.697604
445.0,4009,369.652694
160.0,2001,370.630643
145.0,1935,371.568557
260.0,3085,373.068951
225.0,1867,373.974506
125.0,1389,374.64573
445.0,3749,376.435315
135.0,1977,377.387596
50.0,1309,378.021197
330.0,3397,379.668847
140.0,2189,380.730775
205.0,2461,381.930847
320.0,3045,383.437807
360.0,3433,385.139049
255.0,2127,386.178664
205.0,3367,387.855205
260.0,3037,389.330066
210.0,1877,390.240106
490.0,4213,392.260788
170.0,1975,393.222454
210.0,2041,394.213083
335.0,2983,398.251718
75.0,1319,398.916321
165.0,1997,399.900783
140.0,2153,400.967324
190.0,2087,401.99958
350.0,3219,403.610416
120.0,1295,404.238639
490.0,2773,405.612234
300.0,2493,406.859297
300.0,2585,408.138296
190.0,2039,409.147375
330.0,2827,410.546446
205.0,2015,411.54919
295.0,2877,412.964535
260.0,2481,414.193719
570.0,4197,416.216795
250.0,2253,417.325106
140.0,1427,418.026452
495.0,3457,419.732551
285.0,2915,421.158796
150.0,1975,422.109025
330.0,2953,423.534206
245.0,2663,424.842763
215.0,2047,425.850187
70.0,1563,426.61646
250.0,2217,427.707803
500.0,2971,429.166622
165.0,1683,430.002845
105.0,2029,430.999464
565.0,2653,432.30723
325.0,2969,433.776104
340.0,3027,435.236342
195.0,2211,436.314247
140.0,1737,437.167377
365.0,3139,438.713095
135.0,1103,439.258583
245.0,2935,440.706912
110.0,1935,441.693808
450.0,2451,442.905139
35.0,1459,443.623682
75.0,1693,444.457739
290.0,3187,446.036627
300.0,2687,447.370603
165.0,1831,448.270794
270.0,2509,453.189373
140.0,1899,454.126612
225.0,2733,455.480697
60.0,1129,456.027424
15.0,949,456.49373
225.0,2199,457.576631
535.0,2403,458.758563
320.0,2981,460.231309
50.0,1109,460.775861
365.0,2601,462.064863
190.0,2435,463.256736
105.0,1925,464.20441
90.0,2567,465.484643
200.0,2231,466.588581
195.0,2053,467.600058
365.0,3233,469.197854
500.0,3007,470.675726
165.0,1819,471.565362
325.0,3291,473.19946
270.0,2583,474.463485
150.0,1601,475.236745
285.0,3345,476.859787
170.0,3627,478.624285
130.0,2211,479.698389
400.0,4150,481.687634
120.0,1115,482.225573
215.0,2895,483.648493
610.0,3371,485.298804
190.0,3163,486.860332
165.0,2363,488.008093
275.0,2599,489.263363
410.0,3157,490.784775
170.0,2629,492.056625
570.0,4101,494.050634
440.0,4417,496.208542
170.0,2409,497.403988
105.0,1551,498.170705
415.0,3309,499.80112
320.0,2913,501.230446
245.0,1801,505.208387
165.0,2127,506.262643
250.0,2469,507.484482
285.0,3243,509.094837
230.0,2441,510.298503
275.0,2357,511.461524
475.0,3063,512.978983
210.0,2205,514.061514
415.0,2849,515.463857
235.0,1901,516.394973
250.0,1637,517.201403
310.0,2574,518.476237
250.0,1991,519.445912
155.0,2157,520.507636
130.0,1157,521.073585
345.0,3693,522.898046
275.0,2635,524.168403
300.0,2912,525.579785
280.0,2395,526.739024
510.0,2911,528.140949
260.0,2541,529.372176
305.0,2155,530.410029
190.0,2393,531.577259
505.0,3727,533.391973
280.0,2299,534.53177
445.0,2369,535.706711
335.0,3795,537.562303
275.0,3361,539.191736
220.0,1961,540.136439
120.0,1645,540.934982
275.0,3073,542.419056
315.0,3201,543.964605
320.0,2373,545.114158
430.0,2731,546.434081
370.0,2567,547.675118
295.0,2801,549.032492
95.0,1463,549.743361
265.0,2481,550.944313
435.0,2993,552.394692
330.0,2873,553.782959
295.0,2853,558.248007
370.0,3002,559.701304
460.0,2859,561.079967
240.0,2097,562.098717
315.0,3203,563.656353
165.0,2783,565.006387
165.0,1893,565.929208
455.0,3223,567.488052
310.0,2729,568.810909
190.0,1801,569.678955
265.0,3747,571.492871
490.0,3483,573.175654
140.0,2167,574.231555
340.0,2705,575.539572
200.0,1503,576.269032
550.0,2785,577.623307
